InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
537851,21258,VICTORIAN SEWING BOX LARGE,10,2023-11-28 00:00:00,8.94,11438,United Kingdom
539029,20725,LUNCH BAG RED RETROSPOT,-37,2022-12-03 00:00:00,1.97,10747,Australia
539173,20719,WOODLAND CHARLOTTE BAG,34,2022-11-20 00:00:00,0.71,10947,United Kingdom
539636,22457,NATURAL SLATE HEART CHALKBOARD,31,2022-09-28 00:00:00,2.05,11182,United Kingdom
536782,22616,PACK OF 12 LONDON TISSUES,-36,2023-10-10 00:00:00,0.81,11317,Canada
536915,47566,PARTY BUNTING,2,2022-11-09 00:00:00,5.81,10186,United Kingdom
540700,21064,WOOD S/3 CABINET ANT WHITE,49,2023-10-03 00:00:00,20.23,11116,Germany
539883,22616,PACK OF 12 LONDON TISSUES,45,2022-11-07 00:00:00,1.0,10047,United Kingdom
540178,22961,JAM MAKING SET PRINTED,41,2022-06-03 00:00:00,1.34,10281,United Kingdom
540861,22144,FINISH LINE ENAMEL MUG,49,2022-10-05 00:00:00,0.91,10677,Germany
539314,23228,SPACESHIP LAMP,19,2022-08-11 00:00:00,2.61,10367,Spain
538845,21258,VICTORIAN SEWING BOX LARGE,32,2023-11-28 00:00:00,7.99,10338,United Kingdom
539903,21217,RED RETROSPOT MINI CASES,12,2022-07-23 00:00:00,0.75,10381,Switzerland
537946,22961,JAM MAKING SET PRINTED,1,2023-10-16 00:00:00,1.39,10386,Belgium
537713,23228,SPACESHIP LAMP,24,2023-11-08 00:00:00,3.02,11097,United Kingdom
539456,22961,JAM MAKING SET PRINTED,10,2022-06-12 00:00:00,1.58,10849,USA
C539284,22900,SET 2 TEA TOWELS I LOVE LONDON,27,2023-10-01 00:00:00,2.73,10367,Switzerland
539292,22144,FINISH LINE ENAMEL MUG,3,2022-05-29 00:00:00,1.08,11369,Canada
538214,22616,PACK OF 12 LONDON TISSUES,25,2022-10-27 00:00:00,0.84,11106,Spain
537791,20725,LUNCH BAG RED RETROSPOT,9,2022-03-21 00:00:00,1.34,10891,USA
537300,22197,SMALL POPCORN HOLDER,31,2022-11-28 00:00:00,0.71,10976,United Kingdom
537305,23166,MEDIUM CERAMIC TOP STORAGE JAR,24,2022-12-14 00:00:00,1.4,10861,Switzerland
540819,22616,PACK OF 12 LONDON TISSUES,49,2023-11-19 00:00:00,0.75,11409,United Kingdom
540193,21977,PACK OF 60 PINK PAISLEY CAKE CASES,35,2023-10-18 00:00:00,0.61,10329,United Kingdom
540252,21930,JUMBO STORAGE BAG SUKI,45,2022-05-04 00:00:00,2.38,10490,United Kingdom
539217,22616,PACK OF 12 LONDON TISSUES,4,2023-11-07 00:00:00,0.71,10024,United Kingdom
537966,22382,LUNCH BOX WITH CUTLERY RETROSPOT,15,2023-09-25 00:00:00,2.66,10335,Sweden
538643,84997C,RECYCLED ACRYLIC BEAD NECKLACE,2,2023-08-18 00:00:00,0.99,10869,France
540745,21258,VICTORIAN SEWING BOX LARGE,33,2023-11-23 00:00:00,8.94,11031,Sweden
537246,23355,HOT WATER BOTTLE KEEP CALM,35,2023-10-12 00:00:00,4.86,10157,United Kingdom
537852,22144,FINISH LINE ENAMEL MUG,32,2022-05-06 00:00:00,-0.01,11189,Italy
536869,22382,LUNCH BOX WITH CUTLERY RETROSPOT,8,2023-12-12 00:00:00,2.28,11444,Sweden
540478,22616,PACK OF 12 LONDON TISSUES,7,2022-11-14 00:00:00,0.75,10099,Italy
539122,22423,REGENCY CAKESTAND 3 TIER,46,2023-06-18 00:00:00,12.79,10023,United Kingdom
536784,20727,LUNCH BAG BLACK SKULL,25,2022-07-16 00:00:00,1.61,11027,Japan
539981,22720,SET OF 3 CAKE TINS PANTRY DESIGN,9,2023-08-28 00:00:00,4.25,,Germany
536911,21217,RED RETROSPOT MINI CASES,10,2023-12-04 00:00:00,0.74,10286,United Kingdom
536977,22726,ALARM CLOCK BAKELIKE RED,31,2023-05-11 00:00:00,3.56,10772,United Kingdom
536987,22197,SMALL POPCORN HOLDER,9,2023-11-15 00:00:00,0.73,10498,Norway
538806,23203,LUNCH BAG APPLE DESIGN,45,2023-07-30 00:00:00,1.36,,Singapore
539360,47566,PARTY BUNTING,32,2022-06-10 00:00:00,4.57,10417,Germany
537703,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,4,2023-11-05 00:00:00,2.91,10714,Netherlands
538651,21977,PACK OF 60 PINK PAISLEY CAKE CASES,35,2022-11-02 00:00:00,0.59,10218,United Kingdom
538007,21929,JUMBO BAG PINK POLKADOT,34,2022-12-01 00:00:00,1.66,10939,United Kingdom
538725,22632,HAND WARMER RED POLKA DOT,38,2023-01-17 00:00:00,2.01,11274,Japan
540174,22086,PAPER CHAIN KIT CHRISTMAS DECORATIONS,3,2022-04-08 00:00:00,2.58,10444,United Kingdom
536690,23355,HOT WATER BOTTLE KEEP CALM,31,2022-03-28 00:00:00,4.1,10212,United Kingdom
540504,20719,WOODLAND CHARLOTTE BAG,26,2022-12-18 00:00:00,0.83,11097,France
540507,22632,HAND WARMER RED POLKA DOT,-29,2022-11-01 00:00:00,1.96,10876,United Kingdom
538058,84997C,RECYCLED ACRYLIC BEAD NECKLACE,29,2023-10-22 00:00:00,0.96,10939,Portugal
538319,21930,JUMBO STORAGE BAG SUKI,22,2022-02-14 00:00:00,2.24,11464,Norway
540261,22632,HAND WARMER RED POLKA DOT,31,2022-12-05 00:00:00,1.84,10669,Germany
538837,21212,PACK OF 72 RETROSPOT CAKE CASES,13,2023-12-14 00:00:00,0.49,11233,United Kingdom
539735,22720,SET OF 3 CAKE TINS PANTRY DESIGN,18,2022-10-22 00:00:00,4.41,10271,United Kingdom
536436,23355,HOT WATER BOTTLE KEEP CALM,23,2022-11-24 00:00:00,4.18,10281,France
539465,23355,HOT WATER BOTTLE KEEP CALM,1,2022-12-23 00:00:00,3.83,,France
540148,22086,PAPER CHAIN KIT CHRISTMAS DECORATIONS,46,2023-04-15 00:00:00,2.31,11450,United Kingdom
538339,20725,LUNCH BAG RED RETROSPOT,49,2023-11-20 00:00:00,1.59,10817,Germany
539086,23355,HOT WATER BOTTLE KEEP CALM,1,2022-06-16 00:00:00,4.89,10734,United Kingdom
540219,85099B,JUMBO BAG RED RETROSPOT,10,2023-01-27 00:00:00,1.87,10562,United Kingdom
537830,22469,HEART OF WICKER SMALL,4,2023-12-04 00:00:00,1.57,10161,Netherlands
539199,22144,FINISH LINE ENAMEL MUG,33,2022-03-08 00:00:00,1.08,10696,France
540480,22726,ALARM CLOCK BAKELIKE RED,42,2022-03-09 00:00:00,3.87,,United Kingdom
537582,21977,PACK OF 60 PINK PAISLEY CAKE CASES,23,2023-10-13 00:00:00,0.64,10775,Denmark
538818,22961,JAM MAKING SET PRINTED,-39,2023-10-23 00:00:00,1.29,11306,Switzerland
540269,23209,LUNCH BAG GINGHAM DESIGN,24,2023-01-15 00:00:00,1.87,10529,United Kingdom
539331,20719,WOODLAND CHARLOTTE BAG,11,2023-05-01 00:00:00,0.82,11196,United Kingdom
540281,23355,HOT WATER BOTTLE KEEP CALM,19,2023-08-10 00:00:00,4.16,10359,Spain
539951,21212,PACK OF 72 RETROSPOT CAKE CASES,43,2023-01-27 00:00:00,0.6,10523,United Kingdom
539759,22175,GIN + TONIC DIET METAL SIGN,-38,2023-03-16 00:00:00,1.96,11419,Netherlands
537087,23209,LUNCH BAG GINGHAM DESIGN,9,2023-10-13 00:00:00,1.52,10990,France
C537516,22423,REGENCY CAKESTAND 3 TIER,47,2023-10-10 00:00:00,12.28,10023,Belgium
C539510,47566,PARTY BUNTING,30,2023-11-14 00:00:00,5.92,10814,United Kingdom
536477,23166,MEDIUM CERAMIC TOP STORAGE JAR,3,2023-06-15 00:00:00,1.12,10936,United Kingdom
540027,21212,PACK OF 72 RETROSPOT CAKE CASES,6,2023-12-15 00:00:00,0.45,,United Kingdom
538410,22382,LUNCH BOX WITH CUTLERY RETROSPOT,38,2022-11-25 00:00:00,2.11,10818,United Kingdom
539706,23209,LUNCH BAG GINGHAM DESIGN,14,2022-10-18 00:00:00,1.6,11198,United Kingdom
540546,20725,LUNCH BAG RED RETROSPOT,22,2022-07-13 00:00:00,1.97,11098,Sweden
538322,22144,FINISH LINE ENAMEL MUG,23,2022-10-15 00:00:00,1.16,10958,Germany
538343,22457,NATURAL SLATE HEART CHALKBOARD,35,2022-10-21 00:00:00,2.18,11355,Spain
538541,21977,PACK OF 60 PINK PAISLEY CAKE CASES,30,2023-08-22 00:00:00,0.55,11335,Netherlands
539998,22423,REGENCY CAKESTAND 3 TIER,20,2023-11-30 00:00:00,13.1,10191,Belgium
538754,22900,SET 2 TEA TOWELS I LOVE LONDON,5,2023-02-17 00:00:00,2.44,11209,United Kingdom
537478,22144,FINISH LINE ENAMEL MUG,16,2023-10-22 00:00:00,0.87,10885,United Kingdom
539434,22726,ALARM CLOCK BAKELIKE RED,-47,2023-10-10 00:00:00,4.49,10202,Germany
537670,22144,FINISH LINE ENAMEL MUG,11,2022-10-14 00:00:00,0.95,11231,Germany
536897,22086,PAPER CHAIN KIT CHRISTMAS DECORATIONS,-26,2022-11-01 00:00:00,2.82,10905,Norway
536618,23355,HOT WATER BOTTLE KEEP CALM,10,2023-10-14 00:00:00,5.21,11474,United Kingdom
539742,22616,PACK OF 12 LONDON TISSUES,28,2023-01-11 00:00:00,0.81,11069,Spain
538540,22382,LUNCH BOX WITH CUTLERY RETROSPOT,16,2022-12-21 00:00:00,2.49,10042,United Kingdom
537925,23203,LUNCH BAG APPLE DESIGN,8,2022-08-23 00:00:00,1.56,11175,Italy
536386,22382,LUNCH BOX WITH CUTLERY RETROSPOT,10,2023-11-01 00:00:00,2.57,10660,Finland
537988,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2023-04-13 00:00:00,2.8,10244,Australia
537198,21933,JUMBO BAG SCANDINAVIAN BLUE DAISY,44,2023-12-14 00:00:00,1.83,11083,United Kingdom
540794,21930,JUMBO STORAGE BAG SUKI,45,2023-11-26 00:00:00,1.71,10488,United Kingdom
538588,22144,FINISH LINE ENAMEL MUG,23,2023-10-25 00:00:00,1.04,10160,Portugal
536506,22629,SPACEBOY LUNCH BOX,22,2023-04-26 00:00:00,1.58,10472,Sweden
537463,22382,LUNCH BOX WITH CUTLERY RETROSPOT,15,2023-10-16 00:00:00,2.18,,Canada
540702,47566,PARTY BUNTING,42,2022-10-13 00:00:00,4.61,10282,United Kingdom
539258,23209,LUNCH BAG GINGHAM DESIGN,35,2022-11-25 00:00:00,1.74,10532,United Kingdom
539503,22469,HEART OF WICKER SMALL,23,2022-07-22 00:00:00,1.7,10459,Switzerland
539043,23203,LUNCH BAG APPLE DESIGN,1,2023-11-25 00:00:00,1.42,10820,United Kingdom
538697,22144,FINISH LINE ENAMEL MUG,11,2023-10-03 00:00:00,1.0,10926,Japan
538219,22111,SCOTTIE DOG HOT WATER BOTTLE,9,2023-10-23 00:00:00,4.26,10009,Singapore
538245,22900,SET 2 TEA TOWELS I LOVE LONDON,44,2022-04-22 00:00:00,3.1,10206,Belgium
538816,22632,HAND WARMER RED POLKA DOT,32,2023-04-17 00:00:00,1.76,10738,Spain
539888,22197,SMALL POPCORN HOLDER,37,2022-10-17 00:00:00,0.61,10548,United Kingdom
539414,85099B,JUMBO BAG RED RETROSPOT,22,2023-08-10 00:00:00,1.52,10381,United Kingdom
540829,21930,JUMBO STORAGE BAG SUKI,45,2022-11-11 00:00:00,1.81,10322,United Kingdom
540701,21064,WOOD S/3 CABINET ANT WHITE,12,2023-12-16 00:00:00,16.91,10327,Netherlands
539582,22197,,17,2022-08-20 00:00:00,0.77,,Germany
539103,22900,SET 2 TEA TOWELS I LOVE LONDON,3,2023-12-01 00:00:00,3.34,10716,Norway
537254,22423,REGENCY CAKESTAND 3 TIER,20,2022-12-03 00:00:00,13.5,10773,Finland
539633,22629,SPACEBOY LUNCH BOX,21,2023-11-27 00:00:00,1.57,11062,United Kingdom
536511,23203,LUNCH BAG APPLE DESIGN,12,2022-07-16 00:00:00,1.63,10569,France
539224,23228,SPACESHIP LAMP,6,2022-10-12 00:00:00,2.45,11303,United Kingdom
539531,84406B,CREAM CUPID HEARTS COAT HANGER,7,2023-12-24 00:00:00,3.45,10451,Norway
539268,85099B,JUMBO BAG RED RETROSPOT,6,2023-06-24 00:00:00,1.95,10665,France
539204,20719,WOODLAND CHARLOTTE BAG,48,2023-09-25 00:00:00,0.75,10114,United Kingdom
537022,47566,PARTY BUNTING,27,2023-07-23 00:00:00,5.78,,Netherlands
540680,23166,MEDIUM CERAMIC TOP STORAGE JAR,43,2022-05-08 00:00:00,1.42,10548,Canada
536862,22720,SET OF 3 CAKE TINS PANTRY DESIGN,47,2022-09-05 00:00:00,5.15,11277,France
537644,22175,GIN + TONIC DIET METAL SIGN,39,2022-10-28 00:00:00,2.4,11461,United Kingdom
C537517,22175,GIN + TONIC DIET METAL SIGN,-3,2022-01-04 00:00:00,2.34,10480,Germany
539368,85099B,JUMBO BAG RED RETROSPOT,31,2023-12-21 00:00:00,1.58,,United Kingdom
539926,22629,SPACEBOY LUNCH BOX,43,2022-01-09 00:00:00,1.8,10949,Netherlands
536672,22961,JAM MAKING SET PRINTED,45,2023-12-08 00:00:00,1.71,11226,France
539687,23355,HOT WATER BOTTLE KEEP CALM,21,2022-11-06 00:00:00,5.39,10600,United Kingdom
537972,21064,WOOD S/3 CABINET ANT WHITE,30,2023-02-13 00:00:00,15.19,11166,USA
539265,85123A,WHITE HANGING HEART T-LIGHT HOLDER,21,2023-12-21 00:00:00,2.53,11237,USA
537471,21258,VICTORIAN SEWING BOX LARGE,38,2022-10-15 00:00:00,8.21,11156,United Kingdom
539587,22086,PAPER CHAIN KIT CHRISTMAS DECORATIONS,11,2022-04-04 00:00:00,2.35,10873,United Kingdom
536744,22961,JAM MAKING SET PRINTED,41,2022-11-17 00:00:00,1.49,10007,United Kingdom
540280,84997C,RECYCLED ACRYLIC BEAD NECKLACE,26,2023-10-22 00:00:00,1.17,10158,Canada
536747,23203,LUNCH BAG APPLE DESIGN,42,2023-11-24 00:00:00,1.78,10411,USA
536642,23166,MEDIUM CERAMIC TOP STORAGE JAR,39,2023-11-20 00:00:00,1.39,11264,United Kingdom
539214,21933,JUMBO BAG SCANDINAVIAN BLUE DAISY,35,2023-10-28 00:00:00,1.39,10734,United Kingdom
537612,22197,SMALL POPCORN HOLDER,47,2023-10-10 00:00:00,0.61,11438,Germany
537790,23228,SPACESHIP LAMP,13,2022-09-19 00:00:00,2.43,10413,United Kingdom
536584,20719,WOODLAND CHARLOTTE BAG,49,2022-11-10 00:00:00,0.69,11117,United Kingdom
539786,22616,PACK OF 12 LONDON TISSUES,36,2023-10-20 00:00:00,0.98,10456,Singapore
540116,23203,LUNCH BAG APPLE DESIGN,34,2023-07-08 00:00:00,1.44,10026,United Kingdom
540737,23209,LUNCH BAG GINGHAM DESIGN,-28,2022-02-04 00:00:00,1.34,10468,Italy
540792,23166,MEDIUM CERAMIC TOP STORAGE JAR,41,2023-08-25 00:00:00,1.47,10828,Finland
539251,22961,JAM MAKING SET PRINTED,41,2023-08-21 00:00:00,1.24,10310,France
C537916,22197,SMALL POPCORN HOLDER,46,2023-06-26 00:00:00,0.8,11015,United Kingdom
536738,22111,SCOTTIE DOG HOT WATER BOTTLE,6,2022-09-08 00:00:00,4.98,10321,United Kingdom
539267,21258,VICTORIAN SEWING BOX LARGE,23,2022-08-21 00:00:00,7.96,11235,United Kingdom
539572,22629,SPACEBOY LUNCH BOX,47,2023-12-02 00:00:00,1.62,,Italy
537303,20727,LUNCH BAG BLACK SKULL,45,2023-12-01 00:00:00,1.72,10050,Netherlands
538780,22720,SET OF 3 CAKE TINS PANTRY DESIGN,13,2023-11-20 00:00:00,5.32,11098,United Kingdom
537912,22086,PAPER CHAIN KIT CHRISTMAS DECORATIONS,40,2022-07-02 00:00:00,2.43,11051,USA
537055,22086,PAPER CHAIN KIT CHRISTMAS DECORATIONS,47,2023-05-19 00:00:00,2.87,,Finland
538369,22423,REGENCY CAKESTAND 3 TIER,8,2022-11-05 00:00:00,15.2,10959,France
538912,22457,NATURAL SLATE HEART CHALKBOARD,25,2023-04-15 00:00:00,1.8,10948,Spain
537094,22616,PACK OF 12 LONDON TISSUES,38,2022-09-24 00:00:00,0.76,10908,United Kingdom
539785,23203,LUNCH BAG APPLE DESIGN,4,2022-08-26 00:00:00,1.4,11218,United Kingdom
538452,21217,RED RETROSPOT MINI CASES,45,2022-08-02 00:00:00,1.02,10888,Australia
539054,22457,,18,2022-12-08 00:00:00,1.97,10438,Singapore
539991,21930,JUMBO STORAGE BAG SUKI,14,2023-10-24 00:00:00,2.35,11327,Australia
539251,22616,PACK OF 12 LONDON TISSUES,16,2022-05-04 00:00:00,0.92,11263,Spain
539344,22469,HEART OF WICKER SMALL,32,2022-11-09 00:00:00,1.45,10162,Germany
538693,22175,GIN + TONIC DIET METAL SIGN,2,2022-11-07 00:00:00,2.22,10102,United Kingdom
540254,23209,,36,2022-05-01 00:00:00,1.49,10207,USA
538483,22632,HAND WARMER RED POLKA DOT,35,2022-03-27 00:00:00,1.87,10604,Singapore
539218,23203,LUNCH BAG APPLE DESIGN,3,2023-10-18 00:00:00,1.84,10610,Germany
537655,22197,SMALL POPCORN HOLDER,13,2022-12-11 00:00:00,0.6,11294,United Kingdom
540234,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,4,2023-12-14 00:00:00,2.8,11145,USA
538070,22726,ALARM CLOCK BAKELIKE RED,36,2022-04-25 00:00:00,3.73,10814,United Kingdom
539934,22111,,13,2022-04-16 00:00:00,4.59,10257,Norway
537263,22720,SET OF 3 CAKE TINS PANTRY DESIGN,21,2023-12-13 00:00:00,4.1,11438,United Kingdom
540815,21977,PACK OF 60 PINK PAISLEY CAKE CASES,42,2023-09-02 00:00:00,0.6,10994,USA
537420,22629,SPACEBOY LUNCH BOX,17,2022-07-09 00:00:00,2.05,10345,USA
539909,84997C,RECYCLED ACRYLIC BEAD NECKLACE,9,2023-07-10 00:00:00,1.15,10112,Australia
536841,22111,SCOTTIE DOG HOT WATER BOTTLE,17,2023-12-02 00:00:00,4.71,10069,USA
538099,22726,ALARM CLOCK BAKELIKE RED,1,2022-11-27 00:00:00,4.15,10583,Switzerland
539222,21933,JUMBO BAG SCANDINAVIAN BLUE DAISY,14,2022-05-14 00:00:00,1.42,10652,Finland
539852,23228,SPACESHIP LAMP,27,2022-10-28 00:00:00,2.43,11399,United Kingdom
539014,23228,SPACESHIP LAMP,-6,2023-12-21 00:00:00,2.8,11307,United Kingdom
536909,20725,LUNCH BAG RED RETROSPOT,41,2022-07-29 00:00:00,1.52,11438,Germany
536492,23084,RABBIT NIGHT LIGHT,3,2023-08-29 00:00:00,1.55,,Singapore
536499,20719,WOODLAND CHARLOTTE BAG,38,2023-10-17 00:00:00,0.85,11390,Netherlands
540242,22469,HEART OF WICKER SMALL,19,2023-12-20 00:00:00,1.38,10300,Netherlands
540532,22086,PAPER CHAIN KIT CHRISTMAS DECORATIONS,29,2022-06-03 00:00:00,2.6,10454,United Kingdom
537975,22629,SPACEBOY LUNCH BOX,22,2022-11-17 00:00:00,1.88,11440,United Kingdom
540509,21258,VICTORIAN SEWING BOX LARGE,49,2022-10-23 00:00:00,6.62,11080,Australia
537203,22961,JAM MAKING SET PRINTED,47,2022-10-28 00:00:00,1.24,11281,Netherlands
540217,84997C,RECYCLED ACRYLIC BEAD NECKLACE,40,2022-12-25 00:00:00,1.08,10285,United Kingdom
540067,85099B,JUMBO BAG RED RETROSPOT,5,2023-11-10 00:00:00,1.34,10823,United Kingdom
540598,22197,SMALL POPCORN HOLDER,18,2022-05-22 00:00:00,0.86,11296,United Kingdom
