InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Revenue,OrderYear,OrderMonth,OrderDay,OrderDayOfWeek,YearMonth
537675,22457,NATURAL SLATE HEART CHALKBOARD,17,2022-12-06,2.17,10076,Portugal,36.89,2022,12,6,Tuesday,2022-12
538503,20727,LUNCH BAG BLACK SKULL,2,2022-03-19,1.73,10415,United Kingdom,3.46,2022,3,19,Saturday,2022-03
539430,23203,LUNCH BAG APPLE DESIGN,26,2023-06-11,1.43,10121,Germany,37.18,2023,6,11,Sunday,2023-06
539966,22457,NATURAL SLATE HEART CHALKBOARD,40,2023-11-02,1.87,10075,Singapore,74.8,2023,11,2,Thursday,2023-11
536790,47566,PARTY BUNTING,28,2023-09-01,5.6,11134,France,156.8,2023,9,1,Friday,2023-09
538684,22423,REGENCY CAKESTAND 3 TIER,7,2022-08-04,14.44,11164,Denmark,101.08,2022,8,4,Thursday,2022-08
538172,22423,REGENCY CAKESTAND 3 TIER,45,2022-09-10,12.69,10246,Portugal,571.05,2022,9,10,Saturday,2022-09
538001,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,2023-08-03,2.26,10818,United Kingdom,72.32,2023,8,3,Thursday,2023-08
539823,22457,NATURAL SLATE HEART CHALKBOARD,3,2022-11-04,2.27,10364,United Kingdom,6.81,2022,11,4,Friday,2022-11
539718,23228,Unknown Product,25,2023-12-06,2.2,11177,Spain,55.0,2023,12,6,Wednesday,2023-12
539912,23203,LUNCH BAG APPLE DESIGN,37,2022-01-01,1.74,10936,Australia,64.38,2022,1,1,Saturday,2022-01
538897,21212,PACK OF 72 RETROSPOT CAKE CASES,43,2022-09-30,0.62,11179,United Kingdom,26.66,2022,9,30,Friday,2022-09
540670,21217,RED RETROSPOT MINI CASES,17,2023-12-04,0.69,11003,Sweden,11.73,2023,12,4,Monday,2023-12
540615,22469,HEART OF WICKER SMALL,44,2022-05-14,1.18,11474,United Kingdom,51.92,2022,5,14,Saturday,2022-05
538814,21929,JUMBO BAG PINK POLKADOT,34,2023-05-13,1.78,10995,Germany,60.52,2023,5,13,Saturday,2023-05
537735,23355,HOT WATER BOTTLE KEEP CALM,27,2023-12-03,4.32,10849,Germany,116.64,2023,12,3,Sunday,2023-12
539974,22423,REGENCY CAKESTAND 3 TIER,49,2023-10-27,14.06,10490,United Kingdom,688.94,2023,10,27,Friday,2023-10
536857,22382,LUNCH BOX WITH CUTLERY RETROSPOT,15,2023-03-30,2.43,10459,United Kingdom,36.45,2023,3,30,Thursday,2023-03
538314,84406B,CREAM CUPID HEARTS COAT HANGER,3,2022-01-30,3.04,10003,Sweden,9.12,2022,1,30,Sunday,2022-01
538311,22720,SET OF 3 CAKE TINS PANTRY DESIGN,12,2023-11-19,5.16,10101,France,61.92,2023,11,19,Sunday,2023-11
537053,20725,LUNCH BAG RED RETROSPOT,2,2022-06-13,1.65,10985,Japan,3.3,2022,6,13,Monday,2022-06
540073,22144,FINISH LINE ENAMEL MUG,42,2022-12-11,1.15,10854,Australia,48.3,2022,12,11,Sunday,2022-12
537970,85123A,WHITE HANGING HEART T-LIGHT HOLDER,16,2023-11-29,2.61,10020,Spain,41.76,2023,11,29,Wednesday,2023-11
536841,22616,PACK OF 12 LONDON TISSUES,20,2022-10-08,0.72,10290,France,14.4,2022,10,8,Saturday,2022-10
539774,21930,JUMBO STORAGE BAG SUKI,15,2023-12-23,1.73,10787,United Kingdom,25.95,2023,12,23,Saturday,2023-12
536950,85099B,JUMBO BAG RED RETROSPOT,19,2022-10-13,1.34,10999,Netherlands,25.46,2022,10,13,Thursday,2022-10
540164,22144,FINISH LINE ENAMEL MUG,8,2022-04-30,1.19,10005,Spain,9.52,2022,4,30,Saturday,2022-04
537795,47566,PARTY BUNTING,26,2022-11-11,4.62,10866,Portugal,120.12,2022,11,11,Friday,2022-11
537818,23355,HOT WATER BOTTLE KEEP CALM,21,2023-04-16,5.11,10922,Spain,107.31,2023,4,16,Sunday,2023-04
537126,22616,PACK OF 12 LONDON TISSUES,39,2023-06-22,0.88,10895,France,34.32,2023,6,22,Thursday,2023-06
538642,22457,NATURAL SLATE HEART CHALKBOARD,23,2023-10-24,1.89,10356,Canada,43.47,2023,10,24,Tuesday,2023-10
540194,22457,NATURAL SLATE HEART CHALKBOARD,29,2022-08-31,1.75,11180,United Kingdom,50.75,2022,8,31,Wednesday,2022-08
540489,22423,REGENCY CAKESTAND 3 TIER,12,2022-03-01,12.44,10201,Belgium,149.28,2022,3,1,Tuesday,2022-03
538101,22629,SPACEBOY LUNCH BOX,28,2022-11-24,1.84,10576,Switzerland,51.52,2022,11,24,Thursday,2022-11
539283,47566,PARTY BUNTING,3,2022-10-30,4.86,11129,Canada,14.58,2022,10,30,Sunday,2022-10
536444,22961,JAM MAKING SET PRINTED,4,2022-08-14,1.29,10916,Netherlands,5.16,2022,8,14,Sunday,2022-08
537821,22086,PAPER CHAIN KIT CHRISTMAS DECORATIONS,34,2022-10-04,2.43,11019,Netherlands,82.62,2022,10,4,Tuesday,2022-10
539895,85099B,JUMBO BAG RED RETROSPOT,27,2023-02-02,1.64,11453,USA,44.28,2023,2,2,Thursday,2023-02
539684,21217,RED RETROSPOT MINI CASES,9,2022-12-20,0.84,10183,Spain,7.56,2022,12,20,Tuesday,2022-12
539400,23355,HOT WATER BOTTLE KEEP CALM,38,2023-05-26,4.41,10545,Spain,167.58,2023,5,26,Friday,2023-05
537597,21212,PACK OF 72 RETROSPOT CAKE CASES,16,2023-03-21,0.54,10054,United Kingdom,8.64,2023,3,21,Tuesday,2023-03
536891,20727,LUNCH BAG BLACK SKULL,18,2023-02-07,1.83,10831,Germany,32.94,2023,2,7,Tuesday,2023-02
539533,22382,LUNCH BOX WITH CUTLERY RETROSPOT,29,2023-02-12,2.12,11228,Germany,61.48,2023,2,12,Sunday,2023-02
538312,22197,SMALL POPCORN HOLDER,37,2023-11-05,0.7,11178,Norway,25.9,2023,11,5,Sunday,2023-11
538558,22616,PACK OF 12 LONDON TISSUES,12,2022-06-19,0.74,10956,Norway,8.88,2022,6,19,Sunday,2022-06
540093,22616,PACK OF 12 LONDON TISSUES,10,2022-11-06,0.99,10097,Italy,9.9,2022,11,6,Sunday,2022-11
540363,22111,SCOTTIE DOG HOT WATER BOTTLE,13,2023-06-19,4.25,10352,Italy,55.25,2023,6,19,Monday,2023-06
538059,23203,LUNCH BAG APPLE DESIGN,45,2022-11-24,1.87,10073,United Kingdom,84.15,2022,11,24,Thursday,2022-11
540683,23209,LUNCH BAG GINGHAM DESIGN,46,2022-10-05,1.72,10066,Sweden,79.12,2022,10,5,Wednesday,2022-10
540290,23228,SPACESHIP LAMP,20,2022-05-26,2.66,10957,Finland,53.2,2022,5,26,Thursday,2022-05
537015,21930,JUMBO STORAGE BAG SUKI,49,2023-12-19,2.37,10747,Spain,116.13,2023,12,19,Tuesday,2023-12
537432,85099B,JUMBO BAG RED RETROSPOT,5,2023-03-21,1.98,10697,United Kingdom,9.9,2023,3,21,Tuesday,2023-03
536630,22175,GIN + TONIC DIET METAL SIGN,33,2023-12-15,1.93,10982,Germany,63.69,2023,12,15,Friday,2023-12
537851,21258,VICTORIAN SEWING BOX LARGE,10,2023-11-28,8.94,11438,United Kingdom,89.4,2023,11,28,Tuesday,2023-11
539173,20719,WOODLAND CHARLOTTE BAG,34,2022-11-20,0.71,10947,United Kingdom,24.14,2022,11,20,Sunday,2022-11
539636,22457,NATURAL SLATE HEART CHALKBOARD,31,2022-09-28,2.05,11182,United Kingdom,63.55,2022,9,28,Wednesday,2022-09
536915,47566,PARTY BUNTING,2,2022-11-09,5.81,10186,United Kingdom,11.62,2022,11,9,Wednesday,2022-11
540700,21064,WOOD S/3 CABINET ANT WHITE,49,2023-10-03,20.23,11116,Germany,991.27,2023,10,3,Tuesday,2023-10
539883,22616,PACK OF 12 LONDON TISSUES,45,2022-11-07,1.0,10047,United Kingdom,45.0,2022,11,7,Monday,2022-11
540178,22961,JAM MAKING SET PRINTED,41,2022-06-03,1.34,10281,United Kingdom,54.94,2022,6,3,Friday,2022-06
540861,22144,FINISH LINE ENAMEL MUG,49,2022-10-05,0.91,10677,Germany,44.59,2022,10,5,Wednesday,2022-10
539314,23228,SPACESHIP LAMP,19,2022-08-11,2.61,10367,Spain,49.59,2022,8,11,Thursday,2022-08
538845,21258,VICTORIAN SEWING BOX LARGE,32,2023-11-28,7.99,10338,United Kingdom,255.68,2023,11,28,Tuesday,2023-11
539903,21217,RED RETROSPOT MINI CASES,12,2022-07-23,0.75,10381,Switzerland,9.0,2022,7,23,Saturday,2022-07
537946,22961,JAM MAKING SET PRINTED,1,2023-10-16,1.39,10386,Belgium,1.39,2023,10,16,Monday,2023-10
537713,23228,SPACESHIP LAMP,24,2023-11-08,3.02,11097,United Kingdom,72.48,2023,11,8,Wednesday,2023-11
539456,22961,JAM MAKING SET PRINTED,10,2022-06-12,1.58,10849,USA,15.8,2022,6,12,Sunday,2022-06
539292,22144,FINISH LINE ENAMEL MUG,3,2022-05-29,1.08,11369,Canada,3.24,2022,5,29,Sunday,2022-05
538214,22616,PACK OF 12 LONDON TISSUES,25,2022-10-27,0.84,11106,Spain,21.0,2022,10,27,Thursday,2022-10
537791,20725,LUNCH BAG RED RETROSPOT,9,2022-03-21,1.34,10891,USA,12.06,2022,3,21,Monday,2022-03
537300,22197,SMALL POPCORN HOLDER,31,2022-11-28,0.71,10976,United Kingdom,22.01,2022,11,28,Monday,2022-11
537305,23166,MEDIUM CERAMIC TOP STORAGE JAR,24,2022-12-14,1.4,10861,Switzerland,33.6,2022,12,14,Wednesday,2022-12
540819,22616,PACK OF 12 LONDON TISSUES,49,2023-11-19,0.75,11409,United Kingdom,36.75,2023,11,19,Sunday,2023-11
540193,21977,PACK OF 60 PINK PAISLEY CAKE CASES,35,2023-10-18,0.61,10329,United Kingdom,21.35,2023,10,18,Wednesday,2023-10
540252,21930,JUMBO STORAGE BAG SUKI,45,2022-05-04,2.38,10490,United Kingdom,107.1,2022,5,4,Wednesday,2022-05
539217,22616,PACK OF 12 LONDON TISSUES,4,2023-11-07,0.71,10024,United Kingdom,2.84,2023,11,7,Tuesday,2023-11
537966,22382,LUNCH BOX WITH CUTLERY RETROSPOT,15,2023-09-25,2.66,10335,Sweden,39.9,2023,9,25,Monday,2023-09
538643,84997C,RECYCLED ACRYLIC BEAD NECKLACE,2,2023-08-18,0.99,10869,France,1.98,2023,8,18,Friday,2023-08
540745,21258,VICTORIAN SEWING BOX LARGE,33,2023-11-23,8.94,11031,Sweden,295.02,2023,11,23,Thursday,2023-11
537246,23355,HOT WATER BOTTLE KEEP CALM,35,2023-10-12,4.86,10157,United Kingdom,170.1,2023,10,12,Thursday,2023-10
536869,22382,LUNCH BOX WITH CUTLERY RETROSPOT,8,2023-12-12,2.28,11444,Sweden,18.24,2023,12,12,Tuesday,2023-12
540478,22616,PACK OF 12 LONDON TISSUES,7,2022-11-14,0.75,10099,Italy,5.25,2022,11,14,Monday,2022-11
539122,22423,REGENCY CAKESTAND 3 TIER,46,2023-06-18,12.79,10023,United Kingdom,588.34,2023,6,18,Sunday,2023-06
536784,20727,LUNCH BAG BLACK SKULL,25,2022-07-16,1.61,11027,Japan,40.25,2022,7,16,Saturday,2022-07
536911,21217,RED RETROSPOT MINI CASES,10,2023-12-04,0.74,10286,United Kingdom,7.4,2023,12,4,Monday,2023-12
536977,22726,ALARM CLOCK BAKELIKE RED,31,2023-05-11,3.56,10772,United Kingdom,110.36,2023,5,11,Thursday,2023-05
536987,22197,SMALL POPCORN HOLDER,9,2023-11-15,0.73,10498,Norway,6.57,2023,11,15,Wednesday,2023-11
539360,47566,PARTY BUNTING,32,2022-06-10,4.57,10417,Germany,146.24,2022,6,10,Friday,2022-06
537703,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,4,2023-11-05,2.91,10714,Netherlands,11.64,2023,11,5,Sunday,2023-11
538651,21977,PACK OF 60 PINK PAISLEY CAKE CASES,35,2022-11-02,0.59,10218,United Kingdom,20.65,2022,11,2,Wednesday,2022-11
538007,21929,JUMBO BAG PINK POLKADOT,34,2022-12-01,1.66,10939,United Kingdom,56.44,2022,12,1,Thursday,2022-12
538725,22632,HAND WARMER RED POLKA DOT,38,2023-01-17,2.01,11274,Japan,76.38,2023,1,17,Tuesday,2023-01
540174,22086,PAPER CHAIN KIT CHRISTMAS DECORATIONS,3,2022-04-08,2.58,10444,United Kingdom,7.74,2022,4,8,Friday,2022-04
536690,23355,HOT WATER BOTTLE KEEP CALM,31,2022-03-28,4.1,10212,United Kingdom,127.1,2022,3,28,Monday,2022-03
540504,20719,WOODLAND CHARLOTTE BAG,26,2022-12-18,0.83,11097,France,21.58,2022,12,18,Sunday,2022-12
538058,84997C,RECYCLED ACRYLIC BEAD NECKLACE,29,2023-10-22,0.96,10939,Portugal,27.84,2023,10,22,Sunday,2023-10
538319,21930,JUMBO STORAGE BAG SUKI,22,2022-02-14,2.24,11464,Norway,49.28,2022,2,14,Monday,2022-02
540261,22632,HAND WARMER RED POLKA DOT,31,2022-12-05,1.84,10669,Germany,57.04,2022,12,5,Monday,2022-12
538837,21212,PACK OF 72 RETROSPOT CAKE CASES,13,2023-12-14,0.49,11233,United Kingdom,6.37,2023,12,14,Thursday,2023-12
539735,22720,SET OF 3 CAKE TINS PANTRY DESIGN,18,2022-10-22,4.41,10271,United Kingdom,79.38,2022,10,22,Saturday,2022-10
536436,23355,HOT WATER BOTTLE KEEP CALM,23,2022-11-24,4.18,10281,France,96.14,2022,11,24,Thursday,2022-11
540148,22086,PAPER CHAIN KIT CHRISTMAS DECORATIONS,46,2023-04-15,2.31,11450,United Kingdom,106.26,2023,4,15,Saturday,2023-04
538339,20725,LUNCH BAG RED RETROSPOT,49,2023-11-20,1.59,10817,Germany,77.91,2023,11,20,Monday,2023-11
539086,23355,HOT WATER BOTTLE KEEP CALM,1,2022-06-16,4.89,10734,United Kingdom,4.89,2022,6,16,Thursday,2022-06
540219,85099B,JUMBO BAG RED RETROSPOT,10,2023-01-27,1.87,10562,United Kingdom,18.7,2023,1,27,Friday,2023-01
537830,22469,HEART OF WICKER SMALL,4,2023-12-04,1.57,10161,Netherlands,6.28,2023,12,4,Monday,2023-12
539199,22144,FINISH LINE ENAMEL MUG,33,2022-03-08,1.08,10696,France,35.64,2022,3,8,Tuesday,2022-03
537582,21977,PACK OF 60 PINK PAISLEY CAKE CASES,23,2023-10-13,0.64,10775,Denmark,14.72,2023,10,13,Friday,2023-10
540269,23209,LUNCH BAG GINGHAM DESIGN,24,2023-01-15,1.87,10529,United Kingdom,44.88,2023,1,15,Sunday,2023-01
539331,20719,WOODLAND CHARLOTTE BAG,11,2023-05-01,0.82,11196,United Kingdom,9.02,2023,5,1,Monday,2023-05
540281,23355,HOT WATER BOTTLE KEEP CALM,19,2023-08-10,4.16,10359,Spain,79.04,2023,8,10,Thursday,2023-08
539951,21212,PACK OF 72 RETROSPOT CAKE CASES,43,2023-01-27,0.6,10523,United Kingdom,25.8,2023,1,27,Friday,2023-01
537087,23209,LUNCH BAG GINGHAM DESIGN,9,2023-10-13,1.52,10990,France,13.68,2023,10,13,Friday,2023-10
536477,23166,MEDIUM CERAMIC TOP STORAGE JAR,3,2023-06-15,1.12,10936,United Kingdom,3.36,2023,6,15,Thursday,2023-06
538410,22382,LUNCH BOX WITH CUTLERY RETROSPOT,38,2022-11-25,2.11,10818,United Kingdom,80.18,2022,11,25,Friday,2022-11
539706,23209,LUNCH BAG GINGHAM DESIGN,14,2022-10-18,1.6,11198,United Kingdom,22.4,2022,10,18,Tuesday,2022-10
540546,20725,LUNCH BAG RED RETROSPOT,22,2022-07-13,1.97,11098,Sweden,43.34,2022,7,13,Wednesday,2022-07
538322,22144,FINISH LINE ENAMEL MUG,23,2022-10-15,1.16,10958,Germany,26.68,2022,10,15,Saturday,2022-10
538343,22457,NATURAL SLATE HEART CHALKBOARD,35,2022-10-21,2.18,11355,Spain,76.3,2022,10,21,Friday,2022-10
538541,21977,PACK OF 60 PINK PAISLEY CAKE CASES,30,2023-08-22,0.55,11335,Netherlands,16.5,2023,8,22,Tuesday,2023-08
539998,22423,REGENCY CAKESTAND 3 TIER,20,2023-11-30,13.1,10191,Belgium,262.0,2023,11,30,Thursday,2023-11
538754,22900,SET 2 TEA TOWELS I LOVE LONDON,5,2023-02-17,2.44,11209,United Kingdom,12.2,2023,2,17,Friday,2023-02
537478,22144,FINISH LINE ENAMEL MUG,16,2023-10-22,0.87,10885,United Kingdom,13.92,2023,10,22,Sunday,2023-10
537670,22144,FINISH LINE ENAMEL MUG,11,2022-10-14,0.95,11231,Germany,10.45,2022,10,14,Friday,2022-10
536618,23355,HOT WATER BOTTLE KEEP CALM,10,2023-10-14,5.21,11474,United Kingdom,52.1,2023,10,14,Saturday,2023-10
539742,22616,PACK OF 12 LONDON TISSUES,28,2023-01-11,0.81,11069,Spain,22.68,2023,1,11,Wednesday,2023-01
538540,22382,LUNCH BOX WITH CUTLERY RETROSPOT,16,2022-12-21,2.49,10042,United Kingdom,39.84,2022,12,21,Wednesday,2022-12
537925,23203,LUNCH BAG APPLE DESIGN,8,2022-08-23,1.56,11175,Italy,12.48,2022,8,23,Tuesday,2022-08
536386,22382,LUNCH BOX WITH CUTLERY RETROSPOT,10,2023-11-01,2.57,10660,Finland,25.7,2023,11,1,Wednesday,2023-11
537988,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2023-04-13,2.8,10244,Australia,5.6,2023,4,13,Thursday,2023-04
537198,21933,JUMBO BAG SCANDINAVIAN BLUE DAISY,44,2023-12-14,1.83,11083,United Kingdom,80.52,2023,12,14,Thursday,2023-12
540794,21930,JUMBO STORAGE BAG SUKI,45,2023-11-26,1.71,10488,United Kingdom,76.95,2023,11,26,Sunday,2023-11
538588,22144,FINISH LINE ENAMEL MUG,23,2023-10-25,1.04,10160,Portugal,23.92,2023,10,25,Wednesday,2023-10
536506,22629,SPACEBOY LUNCH BOX,22,2023-04-26,1.58,10472,Sweden,34.76,2023,4,26,Wednesday,2023-04
540702,47566,PARTY BUNTING,42,2022-10-13,4.61,10282,United Kingdom,193.62,2022,10,13,Thursday,2022-10
539258,23209,LUNCH BAG GINGHAM DESIGN,35,2022-11-25,1.74,10532,United Kingdom,60.9,2022,11,25,Friday,2022-11
539503,22469,HEART OF WICKER SMALL,23,2022-07-22,1.7,10459,Switzerland,39.1,2022,7,22,Friday,2022-07
539043,23203,LUNCH BAG APPLE DESIGN,1,2023-11-25,1.42,10820,United Kingdom,1.42,2023,11,25,Saturday,2023-11
538697,22144,FINISH LINE ENAMEL MUG,11,2023-10-03,1.0,10926,Japan,11.0,2023,10,3,Tuesday,2023-10
538219,22111,SCOTTIE DOG HOT WATER BOTTLE,9,2023-10-23,4.26,10009,Singapore,38.34,2023,10,23,Monday,2023-10
538245,22900,SET 2 TEA TOWELS I LOVE LONDON,44,2022-04-22,3.1,10206,Belgium,136.4,2022,4,22,Friday,2022-04
538816,22632,HAND WARMER RED POLKA DOT,32,2023-04-17,1.76,10738,Spain,56.32,2023,4,17,Monday,2023-04
539888,22197,SMALL POPCORN HOLDER,37,2022-10-17,0.61,10548,United Kingdom,22.57,2022,10,17,Monday,2022-10
539414,85099B,JUMBO BAG RED RETROSPOT,22,2023-08-10,1.52,10381,United Kingdom,33.44,2023,8,10,Thursday,2023-08
540829,21930,JUMBO STORAGE BAG SUKI,45,2022-11-11,1.81,10322,United Kingdom,81.45,2022,11,11,Friday,2022-11
540701,21064,WOOD S/3 CABINET ANT WHITE,12,2023-12-16,16.91,10327,Netherlands,202.92,2023,12,16,Saturday,2023-12
539103,22900,SET 2 TEA TOWELS I LOVE LONDON,3,2023-12-01,3.34,10716,Norway,10.02,2023,12,1,Friday,2023-12
537254,22423,REGENCY CAKESTAND 3 TIER,20,2022-12-03,13.5,10773,Finland,270.0,2022,12,3,Saturday,2022-12
539633,22629,SPACEBOY LUNCH BOX,21,2023-11-27,1.57,11062,United Kingdom,32.97,2023,11,27,Monday,2023-11
536511,23203,LUNCH BAG APPLE DESIGN,12,2022-07-16,1.63,10569,France,19.56,2022,7,16,Saturday,2022-07
539224,23228,SPACESHIP LAMP,6,2022-10-12,2.45,11303,United Kingdom,14.7,2022,10,12,Wednesday,2022-10
539531,84406B,CREAM CUPID HEARTS COAT HANGER,7,2023-12-24,3.45,10451,Norway,24.15,2023,12,24,Sunday,2023-12
539268,85099B,JUMBO BAG RED RETROSPOT,6,2023-06-24,1.95,10665,France,11.7,2023,6,24,Saturday,2023-06
539204,20719,WOODLAND CHARLOTTE BAG,48,2023-09-25,0.75,10114,United Kingdom,36.0,2023,9,25,Monday,2023-09
540680,23166,MEDIUM CERAMIC TOP STORAGE JAR,43,2022-05-08,1.42,10548,Canada,61.06,2022,5,8,Sunday,2022-05
536862,22720,SET OF 3 CAKE TINS PANTRY DESIGN,47,2022-09-05,5.15,11277,France,242.05,2022,9,5,Monday,2022-09
537644,22175,GIN + TONIC DIET METAL SIGN,39,2022-10-28,2.4,11461,United Kingdom,93.6,2022,10,28,Friday,2022-10
539926,22629,SPACEBOY LUNCH BOX,43,2022-01-09,1.8,10949,Netherlands,77.4,2022,1,9,Sunday,2022-01
536672,22961,JAM MAKING SET PRINTED,45,2023-12-08,1.71,11226,France,76.95,2023,12,8,Friday,2023-12
539687,23355,HOT WATER BOTTLE KEEP CALM,21,2022-11-06,5.39,10600,United Kingdom,113.19,2022,11,6,Sunday,2022-11
537972,21064,WOOD S/3 CABINET ANT WHITE,30,2023-02-13,15.19,11166,USA,455.7,2023,2,13,Monday,2023-02
539265,85123A,WHITE HANGING HEART T-LIGHT HOLDER,21,2023-12-21,2.53,11237,USA,53.13,2023,12,21,Thursday,2023-12
537471,21258,VICTORIAN SEWING BOX LARGE,38,2022-10-15,8.21,11156,United Kingdom,311.98,2022,10,15,Saturday,2022-10
539587,22086,PAPER CHAIN KIT CHRISTMAS DECORATIONS,11,2022-04-04,2.35,10873,United Kingdom,25.85,2022,4,4,Monday,2022-04
536744,22961,JAM MAKING SET PRINTED,41,2022-11-17,1.49,10007,United Kingdom,61.09,2022,11,17,Thursday,2022-11
540280,84997C,RECYCLED ACRYLIC BEAD NECKLACE,26,2023-10-22,1.17,10158,Canada,30.42,2023,10,22,Sunday,2023-10
536747,23203,LUNCH BAG APPLE DESIGN,42,2023-11-24,1.78,10411,USA,74.76,2023,11,24,Friday,2023-11
536642,23166,MEDIUM CERAMIC TOP STORAGE JAR,39,2023-11-20,1.39,11264,United Kingdom,54.21,2023,11,20,Monday,2023-11
539214,21933,JUMBO BAG SCANDINAVIAN BLUE DAISY,35,2023-10-28,1.39,10734,United Kingdom,48.65,2023,10,28,Saturday,2023-10
537612,22197,SMALL POPCORN HOLDER,47,2023-10-10,0.61,11438,Germany,28.67,2023,10,10,Tuesday,2023-10
537790,23228,SPACESHIP LAMP,13,2022-09-19,2.43,10413,United Kingdom,31.59,2022,9,19,Monday,2022-09
536584,20719,WOODLAND CHARLOTTE BAG,49,2022-11-10,0.69,11117,United Kingdom,33.81,2022,11,10,Thursday,2022-11
539786,22616,PACK OF 12 LONDON TISSUES,36,2023-10-20,0.98,10456,Singapore,35.28,2023,10,20,Friday,2023-10
540116,23203,LUNCH BAG APPLE DESIGN,34,2023-07-08,1.44,10026,United Kingdom,48.96,2023,7,8,Saturday,2023-07
540792,23166,MEDIUM CERAMIC TOP STORAGE JAR,41,2023-08-25,1.47,10828,Finland,60.27,2023,8,25,Friday,2023-08
539251,22961,JAM MAKING SET PRINTED,41,2023-08-21,1.24,10310,France,50.84,2023,8,21,Monday,2023-08
536738,22111,SCOTTIE DOG HOT WATER BOTTLE,6,2022-09-08,4.98,10321,United Kingdom,29.88,2022,9,8,Thursday,2022-09
539267,21258,VICTORIAN SEWING BOX LARGE,23,2022-08-21,7.96,11235,United Kingdom,183.08,2022,8,21,Sunday,2022-08
537303,20727,LUNCH BAG BLACK SKULL,45,2023-12-01,1.72,10050,Netherlands,77.4,2023,12,1,Friday,2023-12
538780,22720,SET OF 3 CAKE TINS PANTRY DESIGN,13,2023-11-20,5.32,11098,United Kingdom,69.16,2023,11,20,Monday,2023-11
537912,22086,PAPER CHAIN KIT CHRISTMAS DECORATIONS,40,2022-07-02,2.43,11051,USA,97.2,2022,7,2,Saturday,2022-07
538369,22423,REGENCY CAKESTAND 3 TIER,8,2022-11-05,15.2,10959,France,121.6,2022,11,5,Saturday,2022-11
538912,22457,NATURAL SLATE HEART CHALKBOARD,25,2023-04-15,1.8,10948,Spain,45.0,2023,4,15,Saturday,2023-04
537094,22616,PACK OF 12 LONDON TISSUES,38,2022-09-24,0.76,10908,United Kingdom,28.88,2022,9,24,Saturday,2022-09
539785,23203,LUNCH BAG APPLE DESIGN,4,2022-08-26,1.4,11218,United Kingdom,5.6,2022,8,26,Friday,2022-08
538452,21217,RED RETROSPOT MINI CASES,45,2022-08-02,1.02,10888,Australia,45.9,2022,8,2,Tuesday,2022-08
539054,22457,Unknown Product,18,2022-12-08,1.97,10438,Singapore,35.46,2022,12,8,Thursday,2022-12
539991,21930,JUMBO STORAGE BAG SUKI,14,2023-10-24,2.35,11327,Australia,32.9,2023,10,24,Tuesday,2023-10
539251,22616,PACK OF 12 LONDON TISSUES,16,2022-05-04,0.92,11263,Spain,14.72,2022,5,4,Wednesday,2022-05
